"AE","Count","Frequency","PRR","Drug","fill","id"
"Decreased appetite",370,0.00629701487457027,1.4400281401891,"ASPIRIN","#FFBB00",114
"Dehydration",178,0.00302937472344191,1.37056769380257,"ASPIRIN","#FFD600",115
"Depression",183,0.00311446951904422,0.835051450690014,"ASPIRIN","#FFFF93",116
"Diabetes mellitus",71,0.00120834609755267,1.0669397684329,"ASPIRIN","#FFFF43",117
"Diarrhoea",747,0.0127131624629838,1.10559297904354,"ASPIRIN","#FFFF28",118
"Dizziness",632,0.0107559821641308,1.25391784899886,"ASPIRIN","#FFF100",119
"Drug dose omission",267,0.00454406208516287,0.541960863356754,"ASPIRIN","#FFFFFF",120
"Drug hypersensitivity",276,0.00469723271724701,0.778114142837808,"ASPIRIN","#FFFFAE",121
"Drug ineffective",675,0.0114877974063106,0.547107546726647,"ASPIRIN","#FFFFFF",122
"Dry mouth",90,0.00153170632084142,1.13229113977157,"ASPIRIN","#FFFF28",123
"Dysgeusia",100,0.00170189591204602,1.14831412759852,"ASPIRIN","#FFFF28",124
"Dyspepsia",115,0.00195718029885292,1.25636043818333,"ASPIRIN","#FFF100",125
"Dysphagia",115,0.00195718029885292,1.24150325635707,"ASPIRIN","#FFFF0D",126
"Dysphonia",66,0.00112325130195037,1.07233890589712,"ASPIRIN","#FFFF43",127
"Dyspnoea",764,0.0130024847680316,1.38179897933787,"ASPIRIN","#FFD600",128
"Fall",548,0.00932638959801219,1.50035473763321,"ASPIRIN","#FFA100",129
"Fatigue",982,0.0167126178562919,1.20413345369361,"ASPIRIN","#FFFF0D",130
"Feeling abnormal",215,0.00365907621089894,0.796451807293035,"ASPIRIN","#FFFFAE",131
"Gait disturbance",243,0.00413560706627183,1.17646438045805,"ASPIRIN","#FFFF0D",132
"Gastrooesophageal reflux disease",105,0.00178699070764832,1.48757356820619,"ASPIRIN","#FFA100",133
"Headache",572,0.00973484461690323,0.840791975661309,"ASPIRIN","#FFFF93",134
"Heart rate increased",94,0.00159978215732326,1.03937640884709,"ASPIRIN","#FFFF43",135
"Hyperhidrosis",137,0.00233159739950305,0.992116078987749,"ASPIRIN","#FFFF5D",136
"Hypersensitivity",114,0.00194016133973246,0.653511518896415,"ASPIRIN","#FFFFC9",137
"Hypertension",274,0.00466319479900609,1.34032024870615,"ASPIRIN","#FFD600",138
"Hypoaesthesia",186,0.0031655263964056,1.22434401116174,"ASPIRIN","#FFFF0D",139
"Hypotension",298,0.00507164981789714,1.61692184231421,"ASPIRIN","#FF8600",140
"Infection",107,0.00182102862588924,0.766503903985627,"ASPIRIN","#FFFFAE",141
"Influenza",71,0.00120834609755267,0.801441618946505,"ASPIRIN","#FFFF93",142
"Insomnia",304,0.0051737635726199,1.02882134701765,"ASPIRIN","#FFFF43",143
"Joint swelling",115,0.00195718029885292,0.986349915355912,"ASPIRIN","#FFFF5D",144
"Loss of consciousness",125,0.00212736989005752,1.08874148054958,"ASPIRIN","#FFFF43",145
"Malaise",446,0.00759045576772525,0.780649951295593,"ASPIRIN","#FFFFAE",146
"Memory impairment",160,0.00272303345927363,1.02233110782525,"ASPIRIN","#FFFF5D",147
"Muscle spasms",221,0.0037611899656217,1.18286874693102,"ASPIRIN","#FFFF0D",148
"Muscular weakness",163,0.00277409033663501,1.41718367833195,"ASPIRIN","#FFBB00",149
"Musculoskeletal pain",108,0.0018380475850097,1.39602479285818,"ASPIRIN","#FFD600",150
"Myalgia",209,0.00355696245617618,1.20472381291954,"ASPIRIN","#FFFF0D",151
"Nasal congestion",61,0.00103815650634807,1.26025445245579,"ASPIRIN","#FFF100",152
"Nasopharyngitis",195,0.00331869702848974,0.940336204059219,"ASPIRIN","#FFFF78",153
"Nausea",747,0.0127131624629838,0.929870215628153,"ASPIRIN","#FFFF78",154
"Neuropathy peripheral",143,0.00243371115422581,1.4141756706409,"ASPIRIN","#FFBB00",155
"Off label use",523,0.00890091562000068,0.638197880759969,"ASPIRIN","#FFFFE4",156
"Oropharyngeal pain",68,0.00115728922019129,0.721311392743368,"ASPIRIN","#FFFFC9",157
"Pain",441,0.00750536097212294,0.785835191539156,"ASPIRIN","#FFFFAE",158
"Pain in extremity",381,0.00648422342489533,1.12905208416784,"ASPIRIN","#FFFF28",159
"Palpitations",113,0.001923142380612,1.05063067755889,"ASPIRIN","#FFFF43",160
"Paraesthesia",154,0.00262091970455087,0.878675616511794,"ASPIRIN","#FFFF78",161
"Peripheral swelling",262,0.00445896728956057,1.27394061058587,"ASPIRIN","#FFF100",162
"Pneumonia",486,0.00827121413254365,1.45258565002739,"ASPIRIN","#FFBB00",163
"Product use issue",388,0.00660335613873855,0.646293033730715,"ASPIRIN","#FFFFE4",164
"Pruritus",254,0.00432281561659689,0.862003984334459,"ASPIRIN","#FFFF93",165
"Pyrexia",276,0.00469723271724701,0.810822480700459,"ASPIRIN","#FFFF93",166
"Rash",307,0.00522482044998128,0.761843798986975,"ASPIRIN","#FFFFAE",167
"Renal disorder",44,0.000748834201300248,0.804366021194419,"ASPIRIN","#FFFF93",168
"Rhinorrhoea",61,0.00103815650634807,1.15116265876776,"ASPIRIN","#FFFF28",169
"Somnolence",191,0.0032506211920079,0.922265170010963,"ASPIRIN","#FFFF78",170
"Swelling",68,0.00115728922019129,0.660402784446554,"ASPIRIN","#FFFFC9",171
"Syncope",183,0.00311446951904422,2.0656875530593,"ASPIRIN","red",172
"Tremor",145,0.00246774907246673,0.878453163393909,"ASPIRIN","#FFFF78",173
"Unevaluable event",69,0.00117430817931175,0.492355810215277,"ASPIRIN","white",174
"Upper respiratory tract infection",54,0.00091902379250485,1.08196708911505,"ASPIRIN","#FFFF43",175
"Urinary tract infection",244,0.00415262602539229,1.40480866832676,"ASPIRIN","#FFBB00",176
"Urticaria",85,0.00144661152523912,0.578814561659451,"ASPIRIN","#FFFFE4",177
"Vision blurred",134,0.00228054052214167,0.877309934652232,"ASPIRIN","#FFFF78",178
"Visual impairment",101,0.00171891487116648,0.934301536420756,"ASPIRIN","#FFFF78",179
"Vomiting",432,0.0073521903400388,0.926991635627881,"ASPIRIN","#FFFF78",180
"Weight decreased",388,0.00660335613873855,1.3432907354313,"ASPIRIN","#FFD600",181
"Weight increased",241,0.00410156914803091,1.13921680402454,"ASPIRIN","#FFFF28",182
"Abdominal discomfort",50,0.00190273232361671,0.631925640596481,"DENOSUMAB","#FFFFE4",183
"Abdominal distension",23,0.000875256868863688,0.519054128706186,"DENOSUMAB","#FFFFFF",184
"Abdominal pain",56,0.00213106020245072,0.559117383284045,"DENOSUMAB","#FFFFFF",185
"Abdominal pain upper",50,0.00190273232361671,0.58807236921574,"DENOSUMAB","#FFFFE4",186
"Alopecia",133,0.00506126798082046,1.27135740301528,"DENOSUMAB","#FFF100",187
"Anxiety",76,0.0028921531318974,0.60973570259911,"DENOSUMAB","#FFFFE4",188
"Arthralgia",652,0.0248116294999619,3.65963112564334,"DENOSUMAB","red",189
"Arthropathy",95,0.00361519141487176,4.01517042313161,"DENOSUMAB","red",190
"Asthenia",147,0.00559403303143314,0.874786557260271,"DENOSUMAB","#FFFF78",191
"Back pain",511,0.0194459243473628,5.12914038666721,"DENOSUMAB","red",192
"Balance disorder",35,0.0013319126265317,0.903562222129348,"DENOSUMAB","#FFFF78",193
"Blood glucose increased",10,0.000380546464723343,0.124987062542755,"DENOSUMAB","white",194
"Blood pressure increased",30,0.00114163939417003,0.406595258235849,"DENOSUMAB","white",195
"Cataract",21,0.00079914757591902,0.765404643648925,"DENOSUMAB","#FFFFAE",196
"Chest pain",44,0.00167440444478271,0.551774184206508,"DENOSUMAB","#FFFFFF",197
"Chills",36,0.00136996727300403,0.761243723654042,"DENOSUMAB","#FFFFAE",198
"Chronic obstructive pulmonary disease",16,0.000608874343557348,0.641827055367484,"DENOSUMAB","#FFFFE4",199
"Confusional state",37,0.00140802191947637,0.467450682213576,"DENOSUMAB","white",200
"Constipation",77,0.00293020777836974,0.796712403798179,"DENOSUMAB","#FFFFAE",201
"Contusion",39,0.00148413121242104,0.823140201184443,"DENOSUMAB","#FFFF93",202
"Cough",76,0.0028921531318974,0.607005971602554,"DENOSUMAB","#FFFFE4",203
"Death",1788,0.0680417078925337,4.78614282196417,"DENOSUMAB","red",204
"Decreased appetite",64,0.00243549737422939,0.5344605684016,"DENOSUMAB","#FFFFFF",205
"Dehydration",32,0.0012177486871147,0.530928890636832,"DENOSUMAB","#FFFFFF",206
"Depression",51,0.00194078697008905,0.518668184650872,"DENOSUMAB","#FFFFFF",207
"Diabetes mellitus",58,0.00220716949539539,1.9959355319518,"DENOSUMAB","#FF0000",208
"Diarrhoea",148,0.00563208767790547,0.479239656239597,"DENOSUMAB","white",209
"Dizziness",132,0.00502321333434812,0.569109241888905,"DENOSUMAB","#FFFFFF",210
"Drug dose omission",424,0.0161351701042697,2.04178325576309,"DENOSUMAB","red",211
"Drug hypersensitivity",81,0.00308242636425908,0.510717224756178,"DENOSUMAB","#FFFFFF",212
"Drug ineffective",141,0.00536570515259913,0.257580451737264,"DENOSUMAB","white",213
"Dry mouth",20,0.000761092929446685,0.55071472561487,"DENOSUMAB","#FFFFFF",214
"Dysgeusia",22,0.000837202222391354,0.552387266633404,"DENOSUMAB","#FFFFFF",215
"Dyspepsia",32,0.0012177486871147,0.763864594064118,"DENOSUMAB","#FFFFAE",216
"Dysphagia",35,0.0013319126265317,0.827897555935683,"DENOSUMAB","#FFFF93",217
"Dysphonia",23,0.000875256868863688,0.827621338977379,"DENOSUMAB","#FFFF93",218
"Dyspnoea",135,0.00513737727376513,0.5256779246198,"DENOSUMAB","#FFFFFF",219
"Fall",195,0.00742065606210518,1.16206325870448,"DENOSUMAB","#FFFF28",220
"Fatigue",277,0.0105411370728366,0.744180717061257,"DENOSUMAB","#FFFFAE",221
"Feeling abnormal",148,0.00563208767790547,1.25104257394416,"DENOSUMAB","#FFF100",222
"Gait disturbance",170,0.00646928990029683,1.86485551180298,"DENOSUMAB","#FF1A00",223
"Gastrooesophageal reflux disease",42,0.00159829515183804,1.30132782192596,"DENOSUMAB","#FFF100",224
"Headache",168,0.00639318060735216,0.550682772338072,"DENOSUMAB","#FFFFFF",225
"Heart rate increased",14,0.00053276505061268,0.338722968638354,"DENOSUMAB","white",226
"Hyperhidrosis",24,0.000913311515336023,0.381932297032059,"DENOSUMAB","white",227
"Hypersensitivity",84,0.00319659030367608,1.10446286825989,"DENOSUMAB","#FFFF28",228
"Hypertension",90,0.00342491818251008,0.962360953483777,"DENOSUMAB","#FFFF5D",229
"Hypoaesthesia",73,0.0027779891924804,1.06108227675663,"DENOSUMAB","#FFFF43",230
"Hypotension",33,0.00125580333358703,0.378283468019156,"DENOSUMAB","white",231
"Infection",43,0.00163634979831037,0.693080898025961,"DENOSUMAB","#FFFFC9",232
"Influenza",36,0.00136996727300403,0.918189382255402,"DENOSUMAB","#FFFF78",233
"Insomnia",95,0.00361519141487176,0.711639045160563,"DENOSUMAB","#FFFFC9",234
"Joint swelling",62,0.00235938808128473,1.19680094784676,"DENOSUMAB","#FFFF0D",235
"Loss of consciousness",12,0.000456655757668011,0.227239048234158,"DENOSUMAB","white",236
"Malaise",243,0.00924727909277723,0.963599368374783,"DENOSUMAB","#FFFF5D",237
"Memory impairment",60,0.00228327878834006,0.852384527114717,"DENOSUMAB","#FFFF93",238
"Muscle spasms",182,0.00692594565796484,2.22874329039391,"DENOSUMAB","red",239
"Muscular weakness",64,0.00243549737422939,1.21943532722996,"DENOSUMAB","#FFFF0D",240
"Musculoskeletal pain",158,0.00601263414262882,4.95893114364079,"DENOSUMAB","red",241
"Myalgia",382,0.0145368749524317,5.48431160530681,"DENOSUMAB","red",242
"Nasal congestion",14,0.00053276505061268,0.629377823690098,"DENOSUMAB","#FFFFE4",243
"Nasopharyngitis",66,0.00251160666717406,0.708413055688818,"DENOSUMAB","#FFFFC9",244
"Nausea",192,0.00730649212268818,0.529589579414622,"DENOSUMAB","#FFFFFF",245
"Neuropathy peripheral",16,0.000608874343557348,0.338119614579504,"DENOSUMAB","white",246
"Off label use",1459,0.0555217292031357,4.48205373360227,"DENOSUMAB","red",247
"Oropharyngeal pain",44,0.00167440444478271,1.06455790143483,"DENOSUMAB","#FFFF43",248
"Pain",544,0.0207017276809498,2.27819264896316,"DENOSUMAB","red",249
"Pain in extremity",571,0.0217292031357029,4.08417315203015,"DENOSUMAB","red",250
"Palpitations",21,0.00079914757591902,0.428037473598016,"DENOSUMAB","white",251
"Paraesthesia",89,0.00338686353603775,1.14925246902171,"DENOSUMAB","#FFFF28",252
"Peripheral swelling",91,0.00346297282898242,0.971521484694541,"DENOSUMAB","#FFFF5D",253
"Pneumonia",88,0.00334880888956542,0.56440704632363,"DENOSUMAB","#FFFFFF",254
"Product use issue",20,0.000761092929446685,0.0741961067343663,"DENOSUMAB","white",255
"Pruritus",229,0.00871451404216455,1.79309228962932,"DENOSUMAB","#FF3500",256
"Pyrexia",93,0.00353908212192709,0.611517690907538,"DENOSUMAB","#FFFFE4",257
"Rash",299,0.0113783392952279,1.71955393911045,"DENOSUMAB","#FF5000",258
"Renal disorder",23,0.000875256868863688,0.950755245508159,"DENOSUMAB","#FFFF5D",259
"Rhinorrhoea",21,0.00079914757591902,0.874479506871622,"DENOSUMAB","#FFFF78",260
"Somnolence",26,0.000989420808280691,0.276272343386043,"DENOSUMAB","white",261
"Swelling",45,0.00171245909125504,0.998914283740528,"DENOSUMAB","#FFFF5D",262
"Syncope",13,0.000494710404140346,0.300993434221816,"DENOSUMAB","white",263
"Tremor",23,0.000875256868863688,0.307784959066992,"DENOSUMAB","white",264
"Unevaluable event",127,0.00483294010198645,2.16433102208275,"DENOSUMAB","red",265
"Upper respiratory tract infection",14,0.00053276505061268,0.617101273162982,"DENOSUMAB","#FFFFE4",266
"Urinary tract infection",107,0.00407184717253977,1.35636670743855,"DENOSUMAB","#FFD600",267
"Urticaria",79,0.00300631707131441,1.24491995237844,"DENOSUMAB","#FFFF0D",268
"Vision blurred",16,0.000608874343557348,0.230882870066209,"DENOSUMAB","white",269
"Visual impairment",15,0.000570819697085014,0.305373796050408,"DENOSUMAB","white",270
"Vomiting",102,0.0038815739401781,0.484439136735703,"DENOSUMAB","white",271
"Weight decreased",85,0.00323464495014841,0.637152093263069,"DENOSUMAB","#FFFFE4",272
"Weight increased",44,0.00167440444478271,0.453740681445145,"DENOSUMAB","white",273
"Abdominal discomfort",158,0.0039710465466975,1.35333698282326,"CHOLECALCIFEROL","#FFD600",274
"Abdominal distension",76,0.00191012365537348,1.15638543355006,"CHOLECALCIFEROL","#FFFF28",275
"Abdominal pain",180,0.00452397707851614,1.21324739247022,"CHOLECALCIFEROL","#FFFF0D",276
"Abdominal pain upper",165,0.00414697898863979,1.3147167337812,"CHOLECALCIFEROL","#FFF100",277
"Alopecia",186,0.00467477631446667,1.17400991357832,"CHOLECALCIFEROL","#FFFF0D",278
"Anxiety",226,0.00568010455413693,1.22275157722432,"CHOLECALCIFEROL","#FFFF0D",279
"Arthralgia",375,0.00942495224690862,1.30902081379634,"CHOLECALCIFEROL","#FFF100",280
"Arthropathy",48,0.0012063938876043,1.24649618241699,"CHOLECALCIFEROL","#FFFF0D",281
"Asthenia",367,0.00922388659897456,1.47761071039548,"CHOLECALCIFEROL","#FFA100",282
"Back pain",255,0.00640896752789786,1.54750545355288,"CHOLECALCIFEROL","#FF8600",283
"Balance disorder",106,0.00266411983512617,1.88166226248716,"CHOLECALCIFEROL","#FF1A00",284
"Blood glucose increased",88,0.00221172212727456,0.736587436572528,"CHOLECALCIFEROL","#FFFFAE",285
"Blood pressure increased",134,0.00336784960289535,1.23252055250357,"CHOLECALCIFEROL","#FFFF0D",286
"Cataract",68,0.00170905800743943,1.69787461313933,"CHOLECALCIFEROL","#FF5000",287
"Chest pain",139,0.00349351563285413,1.17507238132038,"CHOLECALCIFEROL","#FFFF0D",288
"Chills",85,0.00213632250929929,1.20593893452544,"CHOLECALCIFEROL","#FFFF0D",289
"Chronic obstructive pulmonary disease",41,0.00103046144566201,1.10237006132502,"CHOLECALCIFEROL","#FFFF28",290
"Confusional state",127,0.00319191716095305,1.07983800839397,"CHOLECALCIFEROL","#FFFF43",291
"Constipation",230,0.00578063737810395,1.62372791613676,"CHOLECALCIFEROL","#FF6B00",292
"Contusion",113,0.00284005227706846,1.62621170926537,"CHOLECALCIFEROL","#FF6B00",293
"Cough",204,0.00512717402231829,1.09272834067203,"CHOLECALCIFEROL","#FFFF43",294
"Death",117,0.00294058510103549,0.179959951409275,"CHOLECALCIFEROL","white",295
"Decreased appetite",193,0.00485070875640897,1.0827349711742,"CHOLECALCIFEROL","#FFFF43",296
"Dehydration",115,0.00289031868905198,1.29359752094263,"CHOLECALCIFEROL","#FFF100",297
"Depression",226,0.00568010455413693,1.57780642089585,"CHOLECALCIFEROL","#FF8600",298
"Diabetes mellitus",43,0.00108072785764552,0.948038252739519,"CHOLECALCIFEROL","#FFFF78",299
"Diarrhoea",555,0.0139489293254248,1.21621187562944,"CHOLECALCIFEROL","#FFFF0D",300
"Dizziness",439,0.011033477430381,1.28111305604682,"CHOLECALCIFEROL","#FFF100",301
"Drug dose omission",222,0.0055795717301699,0.675945735710966,"CHOLECALCIFEROL","#FFFFC9",302
"Drug hypersensitivity",98,0.00246305418719212,0.403180690464087,"CHOLECALCIFEROL","white",303
"Drug ineffective",506,0.0127174022318287,0.613303189698143,"CHOLECALCIFEROL","#FFFFE4",304
"Dry mouth",81,0.00203578968533226,1.52635854645003,"CHOLECALCIFEROL","#FFA100",305
"Dysgeusia",74,0.00185985724338997,1.25693966930742,"CHOLECALCIFEROL","#FFF100",306
"Dyspepsia",95,0.00238765456921685,1.54348055749266,"CHOLECALCIFEROL","#FFA100",307
"Dysphagia",62,0.00155825877148889,0.972218261766023,"CHOLECALCIFEROL","#FFFF5D",308
