"","counts","type","freq"
"LOSARTAN POTASSIUM",1437,"Drug",0.00463825185998096
"RANITIDINE",1415,"Drug",0.00456724174103901
"MAGNESIUM OXIDE",1412,"Drug",0.00455755854300147
"TAMSULOSIN",1408,"Drug",0.00454464761228475
"PRAVASTATIN",1407,"Drug",0.00454141987960557
"IBRUTINIB",1398,"Drug",0.00451237028549296
"AMITRIPTYLINE",1392,"Drug",0.00449300388941788
"FAMOTIDINE",1379,"Drug",0.00445104336458855
"MACITENTAN",1378,"Drug",0.00444781563190937
"CIPROFLOXACIN",1360,"Drug",0.00438971644368413
"VALACYCLOVIR HYDROCHLORIDE",1353,"Drug",0.00436712231492988
"ALENDRONATE SODIUM",1345,"Drug",0.00434130045349644
"SULFASALAZINE",1342,"Drug",0.0043316172554589
"GOLIMUMAB",1341,"Drug",0.00432838952277972
"SODIUM CHLORIDE",1339,"Drug",0.00432193405742136
"MAGNESIUM",1334,"Drug",0.00430579539402547
"IRON",1329,"Drug",0.00428965673062957
"CINACALCET HYDROCHLORIDE",1315,"Drug",0.00424446847312106
"BORTEZOMIB",1309,"Drug",0.00422510207704598
"NITROGLYCERIN",1301,"Drug",0.00419928021561254
"AMOXICILLIN",1285,"Drug",0.00414763649274567
"CARBOPLATIN",1284,"Drug",0.00414440876006649
"INSULIN NOS",1283,"Drug",0.00414118102738731
"DIGOXIN",1277,"Drug",0.00412181463131223
"FERROUS SULFATE",1267,"Drug",0.00408953730452044
"FLUOROURACIL",1262,"Drug",0.00407339864112454
"DOCETAXEL",1257,"Drug",0.00405725997772864
"CALCIUM CARBONATE",1233,"Drug",0.00397979439342834
"TICAGRELOR",1217,"Drug",0.00392815067056146
"GLIMEPIRIDE",1213,"Drug",0.00391523973984475
"CANAGLIFLOZIN",1208,"Drug",0.00389910107644885
"DOCUSATE SODIUM",1207,"Drug",0.00389587334376967
"SITAGLIPTIN PHOSPHATE",1200,"Drug",0.00387327921501541
"OLANZAPINE",1190,"Drug",0.00384100188822362
"TAMSULOSIN HYDROCHLORIDE",1190,"Drug",0.00384100188822362
"AZATHIOPRINE",1187,"Drug",0.00383131869018608
"ENZALUTAMIDE",1180,"Drug",0.00380872456143182
"POTASSIUM",1169,"Drug",0.00377321950196085
"SUMATRIPTAN SUCCINATE",1160,"Drug",0.00374416990784823
"MORPHINE",1154,"Drug",0.00372480351177316
"DULAGLUTIDE",1149,"Drug",0.00370866484837726
"INSULIN HUMAN",1145,"Drug",0.00369575391766054
"NIFEDIPINE",1137,"Drug",0.0036699320562271
"ENOXAPARIN SODIUM",1136,"Drug",0.00366670432354792
"HUMAN IMMUNOGLOBULIN G",1127,"Drug",0.00363765472943531
"CISPLATIN",1112,"Drug",0.00358923873924762
"FLUTICASONE FUROATE\VILANTEROL TRIFENATATE",1112,"Drug",0.00358923873924762
"OCTREOTIDE ACETATE",1099,"Drug",0.00354727821441828
"ACETAMINOPHEN\CODEINE PHOSPHATE",1091,"Drug",0.00352145635298485
"FLUCONAZOLE",1090,"Drug",0.00351822862030567
"GLIPIZIDE",1070,"Drug",0.00345367396672208
"MESALAMINE",1064,"Drug",0.003434307570647
"CARBAMAZEPINE",1059,"Drug",0.0034181689072511
"LIDOCAINE",1052,"Drug",0.00339557477849684
"FINASTERIDE",1051,"Drug",0.00339234704581767
"HYDROCORTISONE",1040,"Drug",0.00335684198634669
"BREXPIPRAZOLE",1027,"Drug",0.00331488146151736
"MOMETASONE FUROATE",1023,"Drug",0.00330197053080064
"VINCRISTINE",1017,"Drug",0.00328260413472556
"OMALIZUMAB",1004,"Drug",0.00324064360989623
"DOXORUBICIN",1003,"Drug",0.00323741587721705
"BUDESONIDE",1001,"Drug",0.00323096041185869
"BUPRENORPHINE HYDROCHLORIDE\NALOXONE HYDROCHLORIDE",987,"Drug",0.00318577215435018
"EPINEPHRINE",986,"Drug",0.003182544421671
"PIMAVANSERIN TARTRATE",985,"Drug",0.00317931668899182
"DILTIAZEM",981,"Drug",0.0031664057582751
"SUNITINIB MALATE",977,"Drug",0.00315349482755838
"LETROZOLE",976,"Drug",0.0031502670948792
"SOFOSBUVIR",971,"Drug",0.0031341284314833
"EZETIMIBE",964,"Drug",0.00311153430272905
"QUETIAPINE",964,"Drug",0.00311153430272905
"HYDROMORPHONE HYDROCHLORIDE",957,"Drug",0.00308894017397479
"DALFAMPRIDINE",956,"Drug",0.00308571244129561
"AZITHROMYCIN ANHYDROUS",946,"Drug",0.00305343511450382
"MELATONIN",944,"Drug",0.00304697964914546
"COPPER",941,"Drug",0.00303729645110792
"VEDOLIZUMAB",938,"Drug",0.00302761325307038
"FENOFIBRATE",937,"Drug",0.0030243855203912
"CYCLOBENZAPRINE",932,"Drug",0.0030082468569953
"HYDROCODONE",932,"Drug",0.0030082468569953
"TRASTUZUMAB",919,"Drug",0.00296628633216597
"MYCOPHENOLATE MOFETIL",918,"Drug",0.00296305859948679
"TESTOSTERONE",917,"Drug",0.00295983086680761
"IMATINIB MESYLATE",916,"Drug",0.00295660313412843
"ZOLPIDEM\ZOLPIDEM TARTRATE",914,"Drug",0.00295014766877007
"ALIROCUMAB",911,"Drug",0.00294046447073253
"LAMIVUDINE",903,"Drug",0.0029146426092991
"UBIDECARENONE",892,"Drug",0.00287913754982812
"CYCLOBENZAPRINE HYDROCHLORIDE",890,"Drug",0.00287268208446976
"TORSEMIDE",890,"Drug",0.00287268208446976
"ESOMEPRAZOLE",888,"Drug",0.00286622661911141
"PAROXETINE HYDROCHLORIDE",886,"Drug",0.00285977115375305
"CYANOCOBALAMIN\DEXPANTHENOL\NIACINAMIDE\PYRIDOXINE HYDROCHLORIDE\RIBOFLAVIN 5'-PHOSPHATE SODIUM\THIAMINE HYDROCHLORIDE\VITAMIN B COMPLEX",883,"Drug",0.00285008795571551
"HYDROXYCHLOROQUINE",878,"Drug",0.00283394929231961
"PEMBROLIZUMAB",876,"Drug",0.00282749382696125
"FEXOFENADINE HYDROCHLORIDE",875,"Drug",0.00282426609428207
"MINERALS\VITAMINS",873,"Drug",0.00281781062892371
"DOXORUBICIN HYDROCHLORIDE",870,"Drug",0.00280812743088617
"METRONIDAZOLE",869,"Drug",0.00280489969820699
"BIOTIN",867,"Drug",0.00279844423284864
"LISDEXAMFETAMINE DIMESYLATE",866,"Drug",0.00279521650016946
"AMIODARONE",865,"Drug",0.00279198876749028
"DROXIDOPA",858,"Drug",0.00276939463873602
"ETOPOSIDE",851,"Drug",0.00274680050998176
"LIRAGLUTIDE",849,"Drug",0.0027403450446234
"BOSENTAN",848,"Drug",0.00273711731194422
"OXALIPLATIN",847,"Drug",0.00273388957926505
"CIPROFLOXACIN HYDROCHLORIDE",845,"Drug",0.00272743411390669
"CAPECITABINE",843,"Drug",0.00272097864854833
"CLONIDINE",842,"Drug",0.00271775091586915
"ALEMTUZUMAB",838,"Drug",0.00270483998515243
"HEPARIN SODIUM",837,"Drug",0.00270161225247325
"DIVALPROEX SODIUM",836,"Drug",0.00269838451979407
"PROPRANOLOL\PROPRANOLOL HYDROCHLORIDE",832,"Drug",0.00268547358907735
"AMOXICILLIN\CLAVULANATE POTASSIUM",831,"Drug",0.00268224585639817
"BISOPROLOL FUMARATE",828,"Drug",0.00267256265836063
"EXENATIDE",825,"Drug",0.0026628794603231
"LINAGLIPTIN",824,"Drug",0.00265965172764392
"DEVICE",821,"Drug",0.00264996852960638
"AFLIBERCEPT",815,"Drug",0.0026306021335313
"OLMESARTAN MEDOXOMIL",813,"Drug",0.00262414666817294
"ALBUTEROL SULFATE\IPRATROPIUM BROMIDE",805,"Drug",0.00259832480673951
"DICLOFENAC",799,"Drug",0.00257895841066443
"VERAPAMIL HYDROCHLORIDE",798,"Drug",0.00257573067798525
"ENALAPRIL",796,"Drug",0.00256927521262689
"CLARITHROMYCIN",784,"Drug",0.00253054242047674
"RIOCIGUAT",782,"Drug",0.00252408695511838
"VANCOMYCIN",775,"Drug",0.00250149282636412
"DILTIAZEM HYDROCHLORIDE",774,"Drug",0.00249826509368494
"CALCIUM CHLORIDE\ICODEXTRIN\MAGNESIUM CHLORIDE\SODIUM CHLORIDE\SODIUM LACTATE",772,"Drug",0.00249180962832658
"ZOPICLONE",770,"Drug",0.00248535416296822
"CYTARABINE",766,"Drug",0.0024724432322515
"LACTULOSE",755,"Drug",0.00243693817278053
"ACETAMINOPHEN\HYDROCODONE",752,"Drug",0.00242725497474299
"PEGFILGRASTIM",752,"Drug",0.00242725497474299
"IRBESARTAN",750,"Drug",0.00242079950938463
"LOPERAMIDE HYDROCHLORIDE",750,"Drug",0.00242079950938463
"DASATINIB",748,"Drug",0.00241434404402627
"LATANOPROST",747,"Drug",0.00241111631134709
"DULOXETINE",744,"Drug",0.00240143311330956
"IPILIMUMAB",741,"Drug",0.00239174991527202
"PRAVASTATIN SODIUM",741,"Drug",0.00239174991527202
"TEMAZEPAM",739,"Drug",0.00238529444991366
"RITONAVIR",735,"Drug",0.00237238351919694
"METOCLOPRAMIDE HYDROCHLORIDE",730,"Drug",0.00235624485580104
"SILDENAFIL",727,"Drug",0.0023465616577635
"ACETAMINOPHEN\ASPIRIN\CAFFEINE",723,"Drug",0.00233365072704679
"BUSPIRONE HYDROCHLORIDE",718,"Drug",0.00231751206365089
"CALCIUM\VITAMIN D",716,"Drug",0.00231105659829253
"PROBIOTICS NOS",709,"Drug",0.00228846246953827
"HYDRALAZINE HYDROCHLORIDE",705,"Drug",0.00227555153882155
"NILOTINIB",704,"Drug",0.00227232380614238
"METHYLPREDNISOLONE SODIUM SUCCINATE",703,"Drug",0.0022690960734632
"DIPHENHYDRAMINE",699,"Drug",0.00225618514274648
"ESTROGENS, CONJUGATED",685,"Drug",0.00221099688523796
"HALOPERIDOL",682,"Drug",0.00220131368720043
"TIZANIDINE HYDROCHLORIDE",682,"Drug",0.00220131368720043
"CEPHALEXIN",675,"Drug",0.00217871955844617
"OXYGEN",675,"Drug",0.00217871955844617
"SELEXIPAG",674,"Drug",0.00217549182576699
"SUVOREXANT",673,"Drug",0.00217226409308781
"EVOLOCUMAB",671,"Drug",0.00216580862772945
"TIPIRACIL HYDROCHLORIDE\TRIFLURIDINE",667,"Drug",0.00215289769701273
"BUPROPION",655,"Drug",0.00211416490486258
"PROMETHAZINE\PROMETHAZINE HYDROCHLORIDE",655,"Drug",0.00211416490486258
"DOXYCYCLINE",653,"Drug",0.00210770943950422
"METHADONE HYDROCHLORIDE",652,"Drug",0.00210448170682504
"URSODIOL",647,"Drug",0.00208834304342914
"FLUTICASONE\FLUTICASONE PROPIONATE",645,"Drug",0.00208188757807078
".ALPHA.-TOCOPHEROL",641,"Drug",0.00206897664735407
"HYDROXYZINE\HYDROXYZINE HYDROCHLORIDE",641,"Drug",0.00206897664735407
"PIPERACILLIN SODIUM\TAZOBACTAM SODIUM",641,"Drug",0.00206897664735407
"ROSUVASTATIN",634,"Drug",0.00204638251859981
"ABIRATERONE ACETATE",633,"Drug",0.00204315478592063
"NEBIVOLOL HYDROCHLORIDE",633,"Drug",0.00204315478592063
"CALCIUM CARBONATE\CHOLECALCIFEROL",628,"Drug",0.00202701612252473
"PAZOPANIB HYDROCHLORIDE",626,"Drug",0.00202056065716637
"GEMCITABINE\GEMCITABINE HYDROCHLORIDE",625,"Drug",0.00201733292448719
"GLICLAZIDE",625,"Drug",0.00201733292448719
"VALPROIC ACID",623,"Drug",0.00201087745912884
"VARENICLINE TARTRATE",622,"Drug",0.00200764972644966
"NINTEDANIB",621,"Drug",0.00200442199377048
"PERINDOPRIL",616,"Drug",0.00198828333037458
"INSULIN DEGLUDEC",615,"Drug",0.0019850555976954
"CODEINE",609,"Drug",0.00196568920162032
"RANOLAZINE",609,"Drug",0.00196568920162032
"ISOSORBIDE MONONITRATE",608,"Drug",0.00196246146894114
"TERIPARATIDE",607,"Drug",0.00195923373626196
"POLYETHYLENE GLYCOL 400\PROPYLENE GLYCOL",604,"Drug",0.00194955053822442
"BECLOMETHASONE DIPROPIONATE",601,"Drug",0.00193986734018689
"IXAZOMIB",600,"Drug",0.00193663960750771
"VALPROATE SODIUM",599,"Drug",0.00193341187482853
"DEXTROMETHORPHAN",598,"Drug",0.00193018414214935
"FILGRASTIM",595,"Drug",0.00192050094411181
"NYSTATIN",594,"Drug",0.00191727321143263
"PALIPERIDONE PALMITATE",592,"Drug",0.00191081774607427
"PEGINTERFERON BETA-1A",592,"Drug",0.00191081774607427
"ALTEPLASE",588,"Drug",0.00189790681535755
"RABEPRAZOLE SODIUM",588,"Drug",0.00189790681535755
"ASPIRIN LYSINE",584,"Drug",0.00188499588464083
"ZIDOVUDINE",577,"Drug",0.00186240175588658
"EXEMESTANE",575,"Drug",0.00185594629052822
"SOMATROPIN",575,"Drug",0.00185594629052822
"VORTIOXETINE HYDROBROMIDE",575,"Drug",0.00185594629052822
"LOVASTATIN",573,"Drug",0.00184949082516986
"CARFILZOMIB",570,"Drug",0.00183980762713232
"DEFERASIROX",567,"Drug",0.00183012442909478
"FEBUXOSTAT",567,"Drug",0.00183012442909478
"AMIODARONE HYDROCHLORIDE",564,"Drug",0.00182044123105724
"INTERFERON BETA-1B",564,"Drug",0.00182044123105724
"LIFITEGRAST",564,"Drug",0.00182044123105724
"OMEGA-3 FATTY ACIDS",562,"Drug",0.00181398576569888
"DESVENLAFAXINE SUCCINATE",561,"Drug",0.00181075803301971
"UMECLIDINIUM BROMIDE\VILANTEROL TRIFENATATE",557,"Drug",0.00179784710230299
"LOPERAMIDE",553,"Drug",0.00178493617158627
"SUCRALFATE",548,"Drug",0.00176879750819037
"METOCLOPRAMIDE",543,"Drug",0.00175265884479447
"PROCHLORPERAZINE MALEATE",541,"Drug",0.00174620337943612
"OXCARBAZEPINE",539,"Drug",0.00173974791407776
"TIZANIDINE",539,"Drug",0.00173974791407776
"TRIAMCINOLONE ACETONIDE",539,"Drug",0.00173974791407776
"TELMISARTAN",537,"Drug",0.0017332924487194
"OXYBUTYNIN",536,"Drug",0.00173006471604022
"RANIBIZUMAB",535,"Drug",0.00172683698336104
"PANCRELIPASE AMYLASE\PANCRELIPASE LIPASE\PANCRELIPASE PROTEASE",533,"Drug",0.00172038151800268
"SODIUM BICARBONATE",532,"Drug",0.0017171537853235
"PROPRANOLOL HYDROCHLORIDE",530,"Drug",0.00171069831996514
"LEUCOVORIN",529,"Drug",0.00170747058728596
"SUMATRIPTAN",529,"Drug",0.00170747058728596
"DEXLANSOPRAZOLE",528,"Drug",0.00170424285460678
"PAROXETINE",527,"Drug",0.0017010151219276
"PROPOFOL",527,"Drug",0.0017010151219276
"METHYLPHENIDATE",523,"Drug",0.00168810419121088
"CALCITRIOL",520,"Drug",0.00167842099317335
"IPRATROPIUM BROMIDE",519,"Drug",0.00167519326049417
"MYCOPHENOLATE MOFETIL\MYCOPHENOLATE MOFETIL HYDROCHLORIDE",519,"Drug",0.00167519326049417
"DICYCLOMINE HYDROCHLORIDE",516,"Drug",0.00166551006245663
"TACROLIMUS\TACROLIMUS ANHYDROUS",513,"Drug",0.00165582686441909
"ERYTHROPOIETIN",510,"Drug",0.00164614366638155
"NEVIRAPINE",508,"Drug",0.00163968820102319
"HYDROMORPHONE",507,"Drug",0.00163646046834401
"MEROPENEM",506,"Drug",0.00163323273566483
"EMTRICITABINE\TENOFOVIR DISOPROXIL FUMARATE",501,"Drug",0.00161709407226893
"GUAIFENESIN",500,"Drug",0.00161386633958976
"BUMETANIDE",499,"Drug",0.00161063860691058
"ETHINYL ESTRADIOL\ETONOGESTREL",491,"Drug",0.00158481674547714
"RISEDRONATE SODIUM",491,"Drug",0.00158481674547714
"OSELTAMIVIR PHOSPHATE",485,"Drug",0.00156545034940206
"SOLIFENACIN SUCCINATE",485,"Drug",0.00156545034940206
"HYPROMELLOSE 2910 (4000 MPA.S)",483,"Drug",0.0015589948840437
"METFORMIN HYDROCHLORIDE\SITAGLIPTIN PHOSPHATE",483,"Drug",0.0015589948840437
"PROMETHAZINE HYDROCHLORIDE",482,"Drug",0.00155576715136452
"EPOPROSTENOL",479,"Drug",0.00154608395332699
"THALIDOMIDE",474,"Drug",0.00152994528993109
"FULVESTRANT",472,"Drug",0.00152348982457273
"HYDROCHLOROTHIAZIDE\LISINOPRIL",471,"Drug",0.00152026209189355
"PROGESTERONE",468,"Drug",0.00151057889385601
"HYDROCHLOROTHIAZIDE\VALSARTAN",465,"Drug",0.00150089569581847
"COLCHICINE",464,"Drug",0.00149766796313929
"IRINOTECAN",462,"Drug",0.00149121249778093
"PHENYTOIN",462,"Drug",0.00149121249778093
"MECLIZINE HYDROCHLORIDE",460,"Drug",0.00148475703242257
"METHOCARBAMOL",460,"Drug",0.00148475703242257
"PANITUMUMAB",459,"Drug",0.0014815292997434
"ROPINIROLE HYDROCHLORIDE",453,"Drug",0.00146216290366832
"GRANISETRON",452,"Drug",0.00145893517098914
"POLYETHYLENE GLYCOL 3350\POTASSIUM CHLORIDE\SODIUM BICARBONATE\SODIUM CHLORIDE",447,"Drug",0.00144279650759324
"VORICONAZOLE",446,"Drug",0.00143956877491406
"OMBITASVIR\PARITAPREVIR\RITONAVIR",445,"Drug",0.00143634104223488
"MIRABEGRON",443,"Drug",0.00142988557687652
